PG,SG,SF,PF,C,G,F,UTIL,salary,fpts
Andrew Nembhard,Brandon Ingram,Jarace Walker,Dominick Barlow,Nic Claxton,Tyrese Maxey,Ayo Dosunmu,Tre Jones,50000,117.86
Andrew Nembhard,Ben Sheppard,Jaylon Tyson,Pascal Siakam,Nic Claxton,Ayo Dosunmu,Michael Porter,Sandro Mamukelashvili,50000,117.86
TJ McConnell,Brandon Ingram,Aaron Nesmith,De'Andre Hunter,Nic Claxton,Kevin Huerter,Matas Buzelis,Michael Porter,49900,117.86
Craig Porter,Donovan Mitchell,Michael Porter,Jay Huff,Day'Ron Sharpe,Lonzo Ball,Noah Clowney,Brandon Ingram,49800,117.86
Andrew Nembhard,Jordan Miller,Johnny Furphy,Pascal Siakam,Evan Mobley,Egor Demin,Matas Buzelis,Jamal Shead,50000,117.86
Craig Porter,Donovan Mitchell,Kelly Oubre,Nae'Qwan Tomlin,Nic Claxton,Lonzo Ball,Michael Porter,Brandon Ingram,50000,117.86
TJ McConnell,Donovan Mitchell,Aaron Nesmith,Pascal Siakam,Jay Huff,Lonzo Ball,Karlo Matkovic,Michael Porter,50000,117.86
Tyrese Maxey,Jaylon Tyson,Aaron Nesmith,Nae'Qwan Tomlin,Joel Embiid,Jamal Shead,Ayo Dosunmu,Sandro Mamukelashvili,49900,117.86
Andrew Nembhard,Ben Sheppard,Jaylon Tyson,Jay Huff,Jarrett Allen,Tyrese Maxey,Isaac Okoro,Joel Embiid,49900,117.86
Egor Demin,Jaylon Tyson,De'Andre Hunter,Pascal Siakam,Jarrett Allen,Jamal Shead,Michael Porter,Day'Ron Sharpe,50000,117.86
Egor Demin,Coby White,Isaac Okoro,Pascal Siakam,Joel Embiid,Jamal Shead,Collin Murray-Boyles,Kevin Huerter,50000,117.86
Tyrese Maxey,Jaylon Tyson,Jarace Walker,Jay Huff,Day'Ron Sharpe,Jordan Miller,Scottie Barnes,Nikola Vucevic,49700,117.86
TJ McConnell,Donovan Mitchell,Jarace Walker,Zion Williamson,Jay Huff,Kevin Huerter,John Collins,Nikola Vucevic,50000,117.86
Craig Porter,Trey Murphy,Jaylon Tyson,Saddiq Bey,Joel Embiid,Tre Jones,Jordan Miller,Ivica Zubac,50000,117.86
Lonzo Ball,Donovan Mitchell,Jaylon Tyson,Karlo Matkovic,Nic Claxton,Trey Murphy,Collin Murray-Boyles,Brandon Ingram,50000,117.86
TJ McConnell,Donovan Mitchell,Aaron Nesmith,Pascal Siakam,Collin Murray-Boyles,Kevin Huerter,Jarace Walker,Matas Buzelis,49900,117.86
Egor Demin,Brandon Ingram,Johnny Furphy,Derik Queen,Ivica Zubac,Jordan Miller,Scottie Barnes,Nic Claxton,49900,117.86
Andrew Nembhard,Donovan Mitchell,Johnny Furphy,Jay Huff,Sandro Mamukelashvili,Trey Murphy,Drake Powell,Brandon Ingram,49900,117.86
James Harden,Jaylon Tyson,Johnny Furphy,Pascal Siakam,Ivica Zubac,Kris Dunn,De'Andre Hunter,Nic Claxton,50000,117.86
Andrew Nembhard,VJ Edgecombe,Paul George,Jay Huff,Day'Ron Sharpe,Brandon Ingram,Kevin Huerter,Ivica Zubac,50000,117.86
Craig Porter,VJ Edgecombe,Johnny Furphy,Pascal Siakam,Ivica Zubac,Jaylon Tyson,Ayo Dosunmu,Nikola Vucevic,50000,117.86
Andrew Nembhard,Brandon Ingram,Jordan Miller,Zion Williamson,Ivica Zubac,Jeremiah Fears,Kevin Huerter,Egor Demin,50000,117.855
Jamal Shead,Brandon Ingram,Paul George,Pascal Siakam,Jarrett Allen,Kevin Huerter,Dominick Barlow,Nic Claxton,50000,117.855
Lonzo Ball,Brandon Ingram,Aaron Nesmith,Derik Queen,Joel Embiid,Jamal Shead,Kevin Huerter,Tre Jones,50000,117.855
Andrew Nembhard,Ben Sheppard,Jaylon Tyson,Nae'Qwan Tomlin,Joel Embiid,Trey Murphy,Scottie Barnes,Jordan Miller,50000,117.855
Jamal Shead,Trey Murphy,De'Andre Hunter,Matas Buzelis,Ivica Zubac,Brandon Ingram,Collin Murray-Boyles,Kevin Huerter,49900,117.855
Andrew Nembhard,Gradey Dick,Aaron Nesmith,Derik Queen,Joel Embiid,Kris Dunn,Noah Clowney,Ivica Zubac,49900,117.855
Lonzo Ball,Brandon Ingram,Aaron Nesmith,Derik Queen,Ivica Zubac,Jamal Shead,Jalen Smith,Nikola Vucevic,50000,117.855
Tyrese Maxey,Donovan Mitchell,Jarace Walker,Derik Queen,Ivica Zubac,Jaylon Tyson,Drake Powell,Kris Dunn,49900,117.855
Andrew Nembhard,Lonzo Ball,Paul George,Pascal Siakam,Ivica Zubac,Craig Porter,John Collins,Tre Jones,50000,117.855
Tyrese Maxey,Jaylon Tyson,Aaron Nesmith,Nae'Qwan Tomlin,Joel Embiid,Tre Jones,Karlo Matkovic,Ivica Zubac,50000,117.855
TJ McConnell,Brandon Ingram,Saddiq Bey,Matas Buzelis,Ivica Zubac,Coby White,Jordan Miller,Nikola Vucevic,50000,117.855
Craig Porter,Donovan Mitchell,Drake Powell,Jay Huff,Ivica Zubac,VJ Edgecombe,John Collins,Brandon Ingram,50000,117.855
TJ McConnell,Coby White,Aaron Nesmith,Matas Buzelis,Jarrett Allen,Tyrese Maxey,Jordan Miller,Nic Claxton,49900,117.855
TJ McConnell,Donovan Mitchell,Jarace Walker,Dominick Barlow,Jay Huff,Trey Murphy,Michael Porter,Coby White,50000,117.855
Craig Porter,Kris Dunn,Paul George,Zion Williamson,Jay Huff,Tyrese Maxey,Noah Clowney,Ivica Zubac,50000,117.855
Kris Dunn,Jaylon Tyson,Ayo Dosunmu,Derik Queen,Jay Huff,Brandon Ingram,Scottie Barnes,Ivica Zubac,50000,117.855
TJ McConnell,Lonzo Ball,Aaron Nesmith,Jarace Walker,Jarrett Allen,Brandon Ingram,Michael Porter,Nikola Vucevic,50000,117.855
Craig Porter,VJ Edgecombe,Kevin Huerter,Jay Huff,Ivica Zubac,TJ McConnell,Scottie Barnes,Nikola Vucevic,49900,117.855
Andrew Nembhard,Jordan Miller,Paul George,Derik Queen,Nic Claxton,Jamal Shead,Jalen Smith,Nikola Vucevic,49900,117.855
Craig Porter,Kevin Huerter,Jarace Walker,Matas Buzelis,Joel Embiid,Jeremiah Fears,Scottie Barnes,Ivica Zubac,50000,117.855
Andrew Nembhard,Lonzo Ball,De'Andre Hunter,Pascal Siakam,Jay Huff,Egor Demin,Matas Buzelis,Scottie Barnes,49900,117.855
Jeremiah Fears,Brandon Ingram,Jarace Walker,Pascal Siakam,Jay Huff,James Harden,Drake Powell,Nic Claxton,49900,117.855
Jamal Shead,Trey Murphy,Aaron Nesmith,Nae'Qwan Tomlin,Derik Queen,Gradey Dick,Michael Porter,Ivica Zubac,50000,117.855
Jeremiah Fears,Trey Murphy,Aaron Nesmith,Pascal Siakam,Nikola Vucevic,Jamal Shead,Jarace Walker,Gradey Dick,49900,117.855
Craig Porter,Brandon Ingram,Kevin Huerter,Noah Clowney,Joel Embiid,Tre Jones,John Collins,Nic Claxton,50000,117.855
Andrew Nembhard,Ayo Dosunmu,Aaron Nesmith,Zion Williamson,Ivica Zubac,Craig Porter,Paul George,Noah Clowney,50000,117.855
Lonzo Ball,Donovan Mitchell,Isaac Okoro,Noah Clowney,Nikola Vucevic,Brandon Ingram,Collin Murray-Boyles,Jamal Shead,50000,117.85499999999999
Jamal Shead,Cam Thomas,Jordan Miller,Pascal Siakam,Jay Huff,Kevin Huerter,Zion Williamson,Nikola Vucevic,49900,117.85499999999999
TJ McConnell,Kevin Huerter,Jarace Walker,Noah Clowney,Ivica Zubac,Tyrese Maxey,Michael Porter,Tre Jones,50000,117.85000000000001
Craig Porter,Trey Murphy,Jarace Walker,Scottie Barnes,Ivica Zubac,Brandon Ingram,Ayo Dosunmu,Jordan Miller,50000,117.85
Andrew Nembhard,Jaylon Tyson,Michael Porter,Matas Buzelis,Nic Claxton,Egor Demin,Collin Murray-Boyles,Jalen Smith,50000,117.85
Lonzo Ball,Donovan Mitchell,Aaron Nesmith,Karlo Matkovic,Ivica Zubac,Jaylon Tyson,Scottie Barnes,Coby White,50000,117.85
Jeremiah Fears,Lonzo Ball,Michael Porter,Zion Williamson,Jay Huff,Jamal Shead,Noah Clowney,Scottie Barnes,50000,117.85
Jeremiah Fears,Donovan Mitchell,Aaron Nesmith,Zion Williamson,Ivica Zubac,TJ McConnell,Noah Clowney,Jordan Miller,50000,117.85
Jamal Shead,Donovan Mitchell,Jarace Walker,Dominick Barlow,Ivica Zubac,Tre Jones,Paul George,Nikola Vucevic,50000,117.85
Jeremiah Fears,Ayo Dosunmu,Michael Porter,Matas Buzelis,Ivica Zubac,Jamal Shead,Collin Murray-Boyles,Nic Claxton,49900,117.85
Andrew Nembhard,Jaylon Tyson,Paul George,Saddiq Bey,Jarrett Allen,Jamal Shead,Isaac Okoro,Joel Embiid,50000,117.85
Jamal Shead,VJ Edgecombe,Aaron Nesmith,Pascal Siakam,Joel Embiid,Nolan Traore,Derik Queen,Jarace Walker,49800,117.85
Craig Porter,Donovan Mitchell,Paul George,Jay Huff,Nikola Vucevic,Lonzo Ball,Collin Murray-Boyles,Coby White,50000,117.85
Andrew Nembhard,Ben Sheppard,De'Andre Hunter,Matas Buzelis,Joel Embiid,Jamal Shead,Michael Porter,Kevin Huerter,50000,117.85
Andrew Nembhard,Kevin Huerter,Jarace Walker,Derik Queen,Nic Claxton,Jamal Shead,Collin Murray-Boyles,James Harden,49800,117.85
Andrew Nembhard,Trey Murphy,Aaron Nesmith,Nae'Qwan Tomlin,Nic Claxton,Brandon Ingram,De'Andre Hunter,Cam Thomas,50000,117.85
Lonzo Ball,Donovan Mitchell,Johnny Furphy,Nae'Qwan Tomlin,Joel Embiid,Kris Dunn,Scottie Barnes,Nic Claxton,50000,117.85
Andrew Nembhard,Coby White,Isaac Okoro,Nae'Qwan Tomlin,Derik Queen,Tyrese Maxey,Noah Clowney,Ivica Zubac,50000,117.85
Jordan Hawkins,Jaylon Tyson,Ayo Dosunmu,Pascal Siakam,Joel Embiid,Brandon Ingram,Jay Huff,Collin Murray-Boyles,50000,117.85
Craig Porter,Jaylon Tyson,Paul George,Pascal Siakam,Jarrett Allen,TJ McConnell,Drake Powell,Tyrese Maxey,50000,117.85
Craig Porter,Jaylon Tyson,Michael Porter,Pascal Siakam,Sandro Mamukelashvili,Brandon Ingram,Drake Powell,Tre Jones,50000,117.85
Andrew Nembhard,Ben Sheppard,Aaron Nesmith,Zion Williamson,Joel Embiid,Jaylon Tyson,Karlo Matkovic,Brandon Ingram,49900,117.85
Andrew Nembhard,Donovan Mitchell,Johnny Furphy,Jay Huff,Joel Embiid,Jeremiah Fears,John Collins,Lonzo Ball,50000,117.85
Andrew Nembhard,Jordan Miller,Michael Porter,Jay Huff,Day'Ron Sharpe,Craig Porter,Matas Buzelis,Scottie Barnes,49800,117.85
Jeremiah Fears,Jaylon Tyson,Michael Porter,Nae'Qwan Tomlin,Ivica Zubac,Brandon Ingram,Matas Buzelis,Collin Murray-Boyles,49900,117.85
Andrew Nembhard,Ben Sheppard,De'Andre Hunter,Jay Huff,Joel Embiid,Cam Thomas,Scottie Barnes,Nic Claxton,50000,117.85
Andrew Nembhard,Jaylon Tyson,Saddiq Bey,Jay Huff,Day'Ron Sharpe,Tyrese Maxey,Matas Buzelis,Coby White,49800,117.85
Andrew Nembhard,Lonzo Ball,Aaron Nesmith,Pascal Siakam,Dominick Barlow,Tyrese Maxey,Jay Huff,Collin Murray-Boyles,49900,117.85
Andrew Nembhard,Jaylon Tyson,Jordan Miller,Nae'Qwan Tomlin,Joel Embiid,Tyrese Maxey,Kevin Huerter,Sandro Mamukelashvili,49800,117.85
TJ McConnell,Donovan Mitchell,Jaylon Tyson,Collin Murray-Boyles,Nic Claxton,Trey Murphy,John Collins,Gradey Dick,50000,117.85
Jamal Shead,Ben Sheppard,De'Andre Hunter,Scottie Barnes,Ivica Zubac,Donovan Mitchell,Jalen Smith,Nic Claxton,50000,117.85
Andrew Nembhard,Coby White,Saddiq Bey,Derik Queen,Joel Embiid,Craig Porter,Dominick Barlow,Nic Claxton,50000,117.845
Craig Porter,Drake Powell,De'Andre Hunter,Scottie Barnes,Ivica Zubac,Tre Jones,Michael Porter,Nic Claxton,49900,117.845
Andrew Nembhard,Jaylon Tyson,De'Andre Hunter,Nae'Qwan Tomlin,Joel Embiid,Cam Thomas,Paul George,Ivica Zubac,49800,117.845
Andrew Nembhard,Jaylon Tyson,Jarace Walker,Dominick Barlow,Joel Embiid,Kevin Huerter,Paul George,Michael Porter,50000,117.845
Andrew Nembhard,Kevin Huerter,Jarace Walker,Pascal Siakam,Derik Queen,Nolan Traore,Evan Mobley,Nic Claxton,50000,117.845
Tre Jones,Jaylon Tyson,Drake Powell,Zion Williamson,Jay Huff,Brandon Ingram,Matas Buzelis,Scottie Barnes,49900,117.845
Craig Porter,Trey Murphy,De'Andre Hunter,Pascal Siakam,Jarrett Allen,Jeremiah Fears,Jay Huff,Ivica Zubac,50000,117.845
Jamal Shead,Trey Murphy,Aaron Nesmith,Nae'Qwan Tomlin,Joel Embiid,Cam Thomas,De'Andre Hunter,Ivica Zubac,50000,117.845
Andrew Nembhard,Coby White,Johnny Furphy,De'Andre Hunter,Joel Embiid,Jordan Miller,Scottie Barnes,Kevin Huerter,50000,117.845
Tyrese Maxey,Brandon Ingram,Drake Powell,Nae'Qwan Tomlin,Derik Queen,Coby White,Collin Murray-Boyles,Nic Claxton,50000,117.845
Andrew Nembhard,Drake Powell,Aaron Nesmith,Nae'Qwan Tomlin,Evan Mobley,Jamal Shead,Pascal Siakam,Matas Buzelis,49800,117.845
Andrew Nembhard,Coby White,De'Andre Hunter,Nae'Qwan Tomlin,Joel Embiid,Drake Powell,Zion Williamson,Derik Queen,50000,117.845
TJ McConnell,Trey Murphy,Jarace Walker,Nae'Qwan Tomlin,Joel Embiid,Lonzo Ball,Zion Williamson,Nikola Vucevic,49900,117.845
Andrew Nembhard,Donovan Mitchell,De'Andre Hunter,Nae'Qwan Tomlin,Jay Huff,Ayo Dosunmu,Collin Murray-Boyles,Nikola Vucevic,50000,117.845
Craig Porter,Brandon Ingram,Jarace Walker,Saddiq Bey,Joel Embiid,Jordan Miller,Matas Buzelis,Nikola Vucevic,50000,117.845
Andrew Nembhard,VJ Edgecombe,De'Andre Hunter,Derik Queen,Nikola Vucevic,Craig Porter,Collin Murray-Boyles,Jamal Shead,50000,117.845
Andrew Nembhard,Ben Sheppard,Kevin Huerter,Noah Clowney,Nic Claxton,Craig Porter,Scottie Barnes,Tyrese Maxey,50000,117.845
Andrew Nembhard,Jaylon Tyson,Aaron Nesmith,Pascal Siakam,Derik Queen,Jordan Miller,Paul George,Day'Ron Sharpe,50000,117.845
TJ McConnell,Trey Murphy,Michael Porter,Nae'Qwan Tomlin,Joel Embiid,Gradey Dick,Jay Huff,Matas Buzelis,50000,117.845
Craig Porter,Cam Thomas,De'Andre Hunter,Nae'Qwan Tomlin,Ivica Zubac,Tyrese Maxey,Scottie Barnes,Jamal Shead,50000,117.845
TJ McConnell,Trey Murphy,Aaron Nesmith,Jay Huff,Jarrett Allen,Kevin Huerter,Scottie Barnes,Nic Claxton,50000,117.845
Egor Demin,VJ Edgecombe,Johnny Furphy,Derik Queen,Ivica Zubac,Jamal Shead,Michael Porter,Nic Claxton,49900,117.845
Andrew Nembhard,Donovan Mitchell,Kevin Huerter,Jay Huff,Nic Claxton,Egor Demin,John Collins,Tre Jones,49900,117.845
Egor Demin,Trey Murphy,Kevin Huerter,Pascal Siakam,Nic Claxton,Jamal Shead,Matas Buzelis,Noah Clowney,49800,117.84
TJ McConnell,Donovan Mitchell,Jarace Walker,Nae'Qwan Tomlin,Sandro Mamukelashvili,Tyrese Maxey,Pascal Siakam,Gradey Dick,50000,117.84
TJ McConnell,Cam Thomas,Saddiq Bey,Pascal Siakam,Evan Mobley,Jamal Shead,Jay Huff,Nic Claxton,50000,117.84
Jeremiah Fears,Lonzo Ball,Aaron Nesmith,Pascal Siakam,Joel Embiid,Egor Demin,Noah Clowney,Nic Claxton,50000,117.84
James Harden,Trey Murphy,Jaylon Tyson,Nae'Qwan Tomlin,Jay Huff,Jordan Miller,Zion Williamson,Nic Claxton,50000,117.84
Craig Porter,Coby White,Aaron Nesmith,Evan Mobley,Ivica Zubac,Jamal Shead,Paul George,Noah Clowney,49900,117.84
Andrew Nembhard,Trey Murphy,De'Andre Hunter,Jalen Smith,Ivica Zubac,Coby White,Kevin Huerter,Nic Claxton,49900,117.84
Andrew Nembhard,Drake Powell,Johnny Furphy,Pascal Siakam,Jay Huff,Tyrese Maxey,Karlo Matkovic,Michael Porter,50000,117.84
Craig Porter,Lonzo Ball,Aaron Nesmith,Pascal Siakam,Jarrett Allen,Jamal Shead,Scottie Barnes,Tre Jones,49900,117.84
Tre Jones,Trey Murphy,Jaylon Tyson,Zion Williamson,Jarrett Allen,Kevin Huerter,Jay Huff,Ivica Zubac,50000,117.84
Kris Dunn,Jaylon Tyson,Jordan Miller,Zion Williamson,Ivica Zubac,Brandon Ingram,Kevin Huerter,Nikola Vucevic,49800,117.84
Craig Porter,Trey Murphy,Aaron Nesmith,Zion Williamson,Joel Embiid,Lonzo Ball,Jay Huff,Egor Demin,50000,117.84
Jeremiah Fears,Donovan Mitchell,Johnny Furphy,Zion Williamson,Jay Huff,Drake Powell,Scottie Barnes,Nic Claxton,50000,117.84
Tre Jones,Brandon Ingram,Johnny Furphy,Zion Williamson,Ivica Zubac,Ayo Dosunmu,Matas Buzelis,Nic Claxton,50000,117.84
Jeremiah Fears,Trey Murphy,Jaylon Tyson,Zion Williamson,Nic Claxton,Brandon Ingram,Collin Murray-Boyles,Drake Powell,50000,117.84
Jamal Shead,Donovan Mitchell,Ayo Dosunmu,Pascal Siakam,Jay Huff,Brandon Ingram,Karlo Matkovic,Day'Ron Sharpe,49900,117.84
Andrew Nembhard,Lonzo Ball,Michael Porter,Nae'Qwan Tomlin,Jarrett Allen,Tyrese Maxey,Drake Powell,Nic Claxton,49900,117.84
Tre Jones,Donovan Mitchell,De'Andre Hunter,Pascal Siakam,Jarrett Allen,Jaylon Tyson,Jarace Walker,Noah Clowney,49900,117.84
Tyrese Maxey,Donovan Mitchell,Jarace Walker,Jay Huff,Collin Murray-Boyles,Lonzo Ball,Michael Porter,Drake Powell,50000,117.84
TJ McConnell,Brandon Ingram,Jordan Miller,Derik Queen,Jarrett Allen,Coby White,Jay Huff,Scottie Barnes,50000,117.84
Andrew Nembhard,Jaylon Tyson,Jarace Walker,Paul George,Nikola Vucevic,Ayo Dosunmu,Michael Porter,Jordan Miller,50000,117.84
Andrew Nembhard,Cam Thomas,De'Andre Hunter,Scottie Barnes,Ivica Zubac,Tre Jones,Jordan Miller,Nic Claxton,50000,117.84
Andrew Nembhard,Brandon Ingram,Saddiq Bey,Jay Huff,Ivica Zubac,Jeremiah Fears,Isaac Okoro,Nikola Vucevic,50000,117.84
Andrew Nembhard,Coby White,Aaron Nesmith,Derik Queen,Ivica Zubac,Craig Porter,Paul George,Jeremiah Fears,50000,117.84
Andrew Nembhard,VJ Edgecombe,Johnny Furphy,Collin Murray-Boyles,Joel Embiid,Tre Jones,Jordan Miller,Ivica Zubac,50000,117.84
Lonzo Ball,Jaylon Tyson,Jarace Walker,Pascal Siakam,Derik Queen,Coby White,Matas Buzelis,Michael Porter,49800,117.84
Jamal Shead,VJ Edgecombe,Michael Porter,Nae'Qwan Tomlin,Joel Embiid,Kevin Huerter,Jay Huff,Matas Buzelis,49900,117.84
Andrew Nembhard,Donovan Mitchell,Kevin Huerter,Derik Queen,Sandro Mamukelashvili,Craig Porter,Matas Buzelis,Jamal Shead,49900,117.84
Andrew Nembhard,Brandon Ingram,Aaron Nesmith,De'Andre Hunter,Nikola Vucevic,Coby White,Isaac Okoro,Noah Clowney,50000,117.84
Andrew Nembhard,Jaylon Tyson,Gradey Dick,Jay Huff,Nikola Vucevic,Tyrese Maxey,Collin Murray-Boyles,Kris Dunn,49600,117.83500000000001
Craig Porter,Ayo Dosunmu,De'Andre Hunter,Nae'Qwan Tomlin,Ivica Zubac,Tyrese Maxey,Zion Williamson,Nic Claxton,49800,117.83500000000001
Tyrese Maxey,Jaylon Tyson,Aaron Nesmith,Pascal Siakam,Karlo Matkovic,Kevin Huerter,Collin Murray-Boyles,Nic Claxton,50000,117.83500000000001
Tre Jones,Brandon Ingram,Jordan Miller,Noah Clowney,Joel Embiid,Kevin Huerter,Collin Murray-Boyles,Ivica Zubac,50000,117.83500000000001
Lonzo Ball,Brandon Ingram,Michael Porter,Jay Huff,Jarrett Allen,Tre Jones,Matas Buzelis,Nic Claxton,49900,117.83500000000001
Tyrese Maxey,Trey Murphy,Aaron Nesmith,Nae'Qwan Tomlin,Jay Huff,Tre Jones,Noah Clowney,Ivica Zubac,50000,117.83500000000001
Tyrese Maxey,Brandon Ingram,Paul George,Nae'Qwan Tomlin,Jay Huff,Egor Demin,Noah Clowney,Ivica Zubac,49900,117.83500000000001
Tyrese Maxey,Lonzo Ball,Michael Porter,Derik Queen,Ivica Zubac,Jamal Shead,Noah Clowney,Drake Powell,50000,117.83500000000001
Andrew Nembhard,Jaylon Tyson,Johnny Furphy,Matas Buzelis,Ivica Zubac,Tyrese Maxey,John Collins,Kevin Huerter,49900,117.83500000000001
Egor Demin,Donovan Mitchell,Jaylon Tyson,Jay Huff,Nikola Vucevic,Coby White,Matas Buzelis,Gradey Dick,49800,117.835
Andrew Nembhard,Donovan Mitchell,Jaylon Tyson,Zion Williamson,Ivica Zubac,Jordan Hawkins,Collin Murray-Boyles,Kris Dunn,50000,117.835
TJ McConnell,Brandon Ingram,De'Andre Hunter,Nae'Qwan Tomlin,Nic Claxton,Tre Jones,Zion Williamson,Nikola Vucevic,49700,117.835
Andrew Nembhard,Donovan Mitchell,Jarace Walker,Pascal Siakam,Day'Ron Sharpe,Craig Porter,Kevin Huerter,Cam Thomas,50000,117.835
TJ McConnell,Trey Murphy,Drake Powell,Scottie Barnes,Joel Embiid,Jamal Shead,Jordan Miller,Tre Jones,50000,117.835
Craig Porter,Donovan Mitchell,Aaron Nesmith,Matas Buzelis,Day'Ron Sharpe,Brandon Ingram,Jordan Miller,Coby White,50000,117.835
Andrew Nembhard,Jaylon Tyson,Paul George,Pascal Siakam,Nikola Vucevic,Jordan Miller,Kevin Huerter,Kris Dunn,50000,117.835
Jamal Shead,Brandon Ingram,Drake Powell,Derik Queen,Joel Embiid,Tre Jones,Jalen Smith,Nic Claxton,49900,117.835
Andrew Nembhard,Drake Powell,Aaron Nesmith,Pascal Siakam,Derik Queen,Craig Porter,John Collins,Ivica Zubac,49800,117.835
Andrew Nembhard,Jaylon Tyson,Johnny Furphy,Scottie Barnes,Jarrett Allen,Lonzo Ball,Kevin Huerter,Joel Embiid,49900,117.835
Craig Porter,Jaylon Tyson,Ayo Dosunmu,Pascal Siakam,Derik Queen,TJ McConnell,Jordan Miller,Tyrese Maxey,50000,117.835
Egor Demin,Donovan Mitchell,Michael Porter,Jay Huff,Karlo Matkovic,Brandon Ingram,Kevin Huerter,Jamal Shead,50000,117.835
Tre Jones,Trey Murphy,Jarace Walker,Derik Queen,Nic Claxton,Brandon Ingram,Noah Clowney,Coby White,49900,117.835
Lonzo Ball,Jaylon Tyson,Aaron Nesmith,Jay Huff,Nic Claxton,James Harden,Matas Buzelis,Nikola Vucevic,50000,117.835
Andrew Nembhard,Ben Sheppard,Aaron Nesmith,Scottie Barnes,Ivica Zubac,Craig Porter,Drake Powell,Tyrese Maxey,50000,117.835
Andrew Nembhard,Donovan Mitchell,Aaron Nesmith,Jay Huff,Collin Murray-Boyles,Trey Murphy,Drake Powell,Kevin Huerter,50000,117.835
Andrew Nembhard,Donovan Mitchell,Jaylon Tyson,Derik Queen,Jarrett Allen,Coby White,Noah Clowney,Nolan Traore,49900,117.835
Andrew Nembhard,Jaylon Tyson,Paul George,Nae'Qwan Tomlin,Jarrett Allen,Jordan Miller,Zion Williamson,Nikola Vucevic,50000,117.83
Jamal Shead,Donovan Mitchell,Kevin Huerter,Matas Buzelis,Ivica Zubac,Coby White,Collin Murray-Boyles,Sandro Mamukelashvili,49900,117.83
TJ McConnell,Drake Powell,Aaron Nesmith,Noah Clowney,Nic Claxton,Tyrese Maxey,Michael Porter,Collin Murray-Boyles,50000,117.83
Jamal Shead,Brandon Ingram,Drake Powell,Pascal Siakam,Joel Embiid,Tre Jones,Noah Clowney,Yves Missi,50000,117.83
TJ McConnell,Jaylon Tyson,Aaron Nesmith,Matas Buzelis,Jarrett Allen,Tre Jones,Scottie Barnes,Ivica Zubac,50000,117.83
Lonzo Ball,Jaylon Tyson,Michael Porter,Derik Queen,Jay Huff,Ayo Dosunmu,Scottie Barnes,Nic Claxton,50000,117.83
Craig Porter,Jaylon Tyson,Michael Porter,Scottie Barnes,Jalen Smith,TJ McConnell,Jordan Miller,Brandon Ingram,50000,117.83
Andrew Nembhard,Cam Thomas,Drake Powell,Jay Huff,Ivica Zubac,Craig Porter,Scottie Barnes,Nikola Vucevic,49700,117.83
Tyrese Maxey,VJ Edgecombe,Johnny Furphy,Jay Huff,Joel Embiid,Egor Demin,De'Andre Hunter,Jamal Shead,50000,117.83
Andrew Nembhard,Trey Murphy,De'Andre Hunter,Nae'Qwan Tomlin,Day'Ron Sharpe,Brandon Ingram,Matas Buzelis,Ivica Zubac,49900,117.83
Andrew Nembhard,Donovan Mitchell,Aaron Nesmith,Nae'Qwan Tomlin,Day'Ron Sharpe,Jeremiah Fears,Matas Buzelis,Ivica Zubac,50000,117.83
Craig Porter,Jaylon Tyson,De'Andre Hunter,Scottie Barnes,Jarrett Allen,Brandon Ingram,Ayo Dosunmu,Nic Claxton,49900,117.83
Andrew Nembhard,Jaylon Tyson,De'Andre Hunter,Pascal Siakam,Day'Ron Sharpe,Lonzo Ball,Paul George,Brandon Ingram,49700,117.83
Andrew Nembhard,Ben Sheppard,Jaylon Tyson,Evan Mobley,Jarrett Allen,Jamal Shead,Gradey Dick,Joel Embiid,50000,117.83
Andrew Nembhard,Ayo Dosunmu,De'Andre Hunter,John Collins,Nic Claxton,Jamal Shead,Michael Porter,Tre Jones,50000,117.83
Andrew Nembhard,VJ Edgecombe,Jaylon Tyson,Evan Mobley,Day'Ron Sharpe,Brandon Ingram,Drake Powell,Jamal Shead,50000,117.83
Jeremiah Fears,Brandon Ingram,Kevin Huerter,Pascal Siakam,Nic Claxton,Coby White,Noah Clowney,Egor Demin,50000,117.83
TJ McConnell,Lonzo Ball,Ayo Dosunmu,Pascal Siakam,Day'Ron Sharpe,Brandon Ingram,Scottie Barnes,Jamal Shead,49900,117.83
Lonzo Ball,VJ Edgecombe,Jaylon Tyson,Nae'Qwan Tomlin,Joel Embiid,Tre Jones,Scottie Barnes,Nic Claxton,50000,117.83
Craig Porter,Ben Sheppard,Aaron Nesmith,Jay Huff,Ivica Zubac,Tyrese Maxey,Matas Buzelis,Michael Porter,50000,117.83
Craig Porter,Donovan Mitchell,Saddiq Bey,Noah Clowney,Joel Embiid,Jordan Miller,Kevin Huerter,Nic Claxton,50000,117.83
Tyrese Maxey,Jaylon Tyson,Aaron Nesmith,Derik Queen,Jay Huff,Jordan Miller,De'Andre Hunter,Nikola Vucevic,50000,117.83
Kris Dunn,Jaylon Tyson,De'Andre Hunter,Pascal Siakam,Jarrett Allen,Jordan Miller,Michael Porter,Ivica Zubac,50000,117.83
Andrew Nembhard,Donovan Mitchell,Aaron Nesmith,Dominick Barlow,Nikola Vucevic,Jeremiah Fears,Jordan Miller,Jamal Shead,50000,117.83
